NombreArchivo,RutaArchivo,Clase_Alofono,Alofono
s00644_d_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00644_d_n3.wav,10,d
s00644_d_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00644_d_n4.wav,10,d
s00645_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00645_d.wav,10,d
s00645_d_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00645_d_n2.wav,10,d
s00645_d_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00645_d_n3.wav,10,d
s00646_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00646_d.wav,10,d
s00647_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00647_d.wav,10,d
s00647_d_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00647_d_n2.wav,10,d
s00647_d_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00647_d_n3.wav,10,d
s00648_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00648_d.wav,10,d
s00649_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00649_d.wav,10,d
s00649_d_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00649_d_n2.wav,10,d
s00650_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00650_d.wav,10,d
s00650_d_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00650_d_n2.wav,10,d
s00650_d_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00650_d_n3.wav,10,d
s00650_d_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00650_d_n4.wav,10,d
s00650_d_n5.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00650_d_n5.wav,10,d
s00650_d_n6.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00650_d_n6.wav,10,d
s00701_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00701_d.wav,10,d
s00701_d_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00701_d_n2.wav,10,d
s00702_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00702_d.wav,10,d
s00702_d_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00702_d_n2.wav,10,d
s00702_d_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00702_d_n3.wav,10,d
s00702_d_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00702_d_n4.wav,10,d
s00702_d_n5.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00702_d_n5.wav,10,d
s00702_d_n6.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00702_d_n6.wav,10,d
s00702_d_n7.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00702_d_n7.wav,10,d
s00703_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00703_d.wav,10,d
s00704_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00704_d.wav,10,d
s00704_d_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00704_d_n2.wav,10,d
s00704_d_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00704_d_n3.wav,10,d
s00705_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00705_d.wav,10,d
s00705_d_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00705_d_n2.wav,10,d
s00706_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00706_d.wav,10,d
s00706_d_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00706_d_n2.wav,10,d
s00707_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00707_d.wav,10,d
s00707_d_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00707_d_n2.wav,10,d
s00707_d_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00707_d_n3.wav,10,d
s00708_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00708_d.wav,10,d
s00709_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00709_d.wav,10,d
s00709_d_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00709_d_n2.wav,10,d
s00709_d_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00709_d_n3.wav,10,d
s00709_d_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00709_d_n4.wav,10,d
s00710_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00710_d.wav,10,d
s00710_d_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00710_d_n2.wav,10,d
s00710_d_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00710_d_n3.wav,10,d
s00710_d_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00710_d_n4.wav,10,d
s00711_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00711_d.wav,10,d
s00711_d_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00711_d_n2.wav,10,d
s00711_d_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00711_d_n3.wav,10,d
s00711_d_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00711_d_n4.wav,10,d
s00712_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00712_d.wav,10,d
s00712_d_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetD/d/s00712_d_n2.wav,10,d
