NombreArchivo,RutaArchivo,Clase_Alofono,Alofono
s02107_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02107_k_n2.wav,8,k
s02108_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02108_k.wav,8,k
s02109_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02109_k.wav,8,k
s02109_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02109_k_n2.wav,8,k
s02110_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02110_k.wav,8,k
s02110_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02110_k_n2.wav,8,k
s02110_k_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02110_k_n3.wav,8,k
s02111_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02111_k.wav,8,k
s02113_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02113_k.wav,8,k
s02114_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02114_k.wav,8,k
s02115_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02115_k.wav,8,k
s02115_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02115_k_n2.wav,8,k
s02115_k_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02115_k_n3.wav,8,k
s02118_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02118_k.wav,8,k
s02118_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02118_k_n2.wav,8,k
s02120_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02120_k.wav,8,k
s02120_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02120_k_n2.wav,8,k
s02121_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02121_k.wav,8,k
s02122_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02122_k.wav,8,k
s02122_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02122_k_n2.wav,8,k
s02122_k_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02122_k_n3.wav,8,k
s02122_k_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02122_k_n4.wav,8,k
s02123_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02123_k.wav,8,k
s02124_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02124_k.wav,8,k
s02125_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02125_k.wav,8,k
s02126_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02126_k.wav,8,k
s02126_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02126_k_n2.wav,8,k
s02126_k_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02126_k_n3.wav,8,k
s02126_k_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02126_k_n4.wav,8,k
s02127_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02127_k.wav,8,k
s02128_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02128_k.wav,8,k
s02128_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02128_k_n2.wav,8,k
s02131_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02131_k.wav,8,k
s02132_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02132_k.wav,8,k
s02134_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02134_k.wav,8,k
s02134_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02134_k_n2.wav,8,k
s02134_k_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02134_k_n3.wav,8,k
s02136_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02136_k.wav,8,k
s02136_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02136_k_n2.wav,8,k
s02136_k_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02136_k_n3.wav,8,k
s02137_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02137_k.wav,8,k
s02137_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02137_k_n2.wav,8,k
s02137_k_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02137_k_n3.wav,8,k
s02138_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02138_k.wav,8,k
s02139_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02139_k.wav,8,k
s02140_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02140_k.wav,8,k
s02140_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02140_k_n2.wav,8,k
s02140_k_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02140_k_n3.wav,8,k
s02141_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02141_k.wav,8,k
s02141_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02141_k_n2.wav,8,k
s02142_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02142_k.wav,8,k
s02143_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02143_k.wav,8,k
s02143_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02143_k_n2.wav,8,k
s02145_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02145_k.wav,8,k
s02145_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02145_k_n2.wav,8,k
s02145_k_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02145_k_n3.wav,8,k
s02147_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02147_k.wav,8,k
s02147_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02147_k_n2.wav,8,k
s02149_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02149_k.wav,8,k
s02150_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02150_k.wav,8,k
s02150_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02150_k_n2.wav,8,k
s02150_k_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02150_k_n3.wav,8,k
s02150_k_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02150_k_n4.wav,8,k
s02201_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02201_k.wav,8,k
s02202_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02202_k.wav,8,k
s02202_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02202_k_n2.wav,8,k
s02203_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02203_k.wav,8,k
s02204_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02204_k.wav,8,k
s02204_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02204_k_n2.wav,8,k
s02205_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02205_k.wav,8,k
s02205_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02205_k_n2.wav,8,k
s02205_k_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02205_k_n3.wav,8,k
s02205_k_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02205_k_n4.wav,8,k
s02205_k_n5.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02205_k_n5.wav,8,k
s02206_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02206_k.wav,8,k
s02206_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02206_k_n2.wav,8,k
s02207_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02207_k.wav,8,k
s02207_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02207_k_n2.wav,8,k
s02208_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02208_k.wav,8,k
s02208_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02208_k_n2.wav,8,k
s02209_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02209_k.wav,8,k
s02209_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02209_k_n2.wav,8,k
s02209_k_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02209_k_n3.wav,8,k
s02209_k_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02209_k_n4.wav,8,k
s02210_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02210_k.wav,8,k
s02210_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02210_k_n2.wav,8,k
s02210_k_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02210_k_n3.wav,8,k
s02211_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02211_k.wav,8,k
s02211_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02211_k_n2.wav,8,k
s02212_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02212_k.wav,8,k
s02212_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02212_k_n2.wav,8,k
s02212_k_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02212_k_n3.wav,8,k
s02213_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02213_k.wav,8,k
s02213_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02213_k_n2.wav,8,k
s02213_k_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02213_k_n3.wav,8,k
s02213_k_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02213_k_n4.wav,8,k
s02213_k_n5.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetK/k/s02213_k_n5.wav,8,k
